Date,Advertisement,Daily_Reach,Daily_Likes,Cost_per_Result,Daily_Male_Likes,Daily_Female_Likes,Daily_Male_Reach,Daily_Female_Reach,Daily_Male_CPR,Daily_Female_CPR,18-34_Male,35-54_Male,55+_Male,18-34_Female,35-54_Female,55+_Female
6-Apr,Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Apr,Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Apr,Photo,1214,48,0.61,11,37,406,808,0.72,0.57,1,2,8,3,3,31
7-Apr,Video,1711,55,0.53,21,34,595,1116,0.48,0.57,5,5,11,3,4,27
8-Apr,Photo,1745,42,0.65,12,30,683,1062,0.67,0.71,1,1,10,0,0,30
8-Apr,Video,2169,53,0.54,18,35,924,1245,0.52,0.57,4,8,6,2,7,26
9-Apr,Photo,1299,39,0.7,7,32,465,834,1.09,0.7,1,1,5,1,1,30
9-Apr,Video,2543,57,0.55,14,43,984,1559,0.6,0.5,2,4,8,2,2,39
10-Apr,Photo,1624,34,0.74,10,24,536,1088,0.63,1.02,0,3,7,0,2,22
10-Apr,Video,4392,44,0.58,12,32,1850,2542,0.85,0.64,4,3,5,3,4,25
11-Apr,Photo,3939,41,0.72,16,25,1693,2246,0.65,0.73,2,2,12,1,1,23
11-Apr,Video,5652,55,0.58,15,40,2710,2942,0.62,0.5,6,6,3,5,7,28
12-Apr,Photo,2347,31,0.75,10,21,1207,1140,0.89,1,2,3,5,2,1,18
12-Apr,Video,3902,47,0.58,22,25,1821,2081,0.6,0.72,5,3,14,3,2,20
13-Apr,Photo,1471,36,0.77,13,23,786,685,1.03,0.76,1,3,9,2,1,20
13-Apr,Video,3156,46,0.59,13,33,1606,1550,0.76,0.57,3,2,8,3,2,28